"","Form","Freq","lemma","POS"
"195","gatti",20884,"gatto","NOUN-M:p"
"196","gatto",22226,"gatto","NOUN-M:s"
"197","gemella",541,"gemella","NOUN-F:s"
"198","gemelle",1014,"gemella","NOUN-F:p"
"199","gemelli",4834,"gemello","NOUN-M:p"
"200","gemello",1220,"gemello","NOUN-M:s"
"201","ginecologa",787,"ginecologa","NOUN-F:s"
"202","ginecologhe",50,"ginecologa","NOUN-F:p"
"203","ginecologi",732,"ginecologo","NOUN-M:p"
"204","ginecologo",3430,"ginecologo","NOUN-M:s"
"205","guerriera",786,"guerriera","NOUN-F:s"
"206","guerriere",248,"guerriera","NOUN-F:p"
"207","guerrieri",5781,"guerriero","NOUN-M:p"
"208","guerriero",7984,"guerriero","NOUN-M:s"
"209","immigrata",332,"immigrata","NOUN-F:s"
"210","immigrate",807,"immigrata","NOUN-F:p"
"211","immigrati",64960,"immigrato","NOUN-M:p"
"212","immigrato",7892,"immigrato","NOUN-M:s"
"213","imputata",730,"imputata","NOUN-F:s"
"214","imputate",129,"imputata","NOUN-F:p"
"215","imputati",16135,"imputato","NOUN-M:p"
"216","imputato",22636,"imputato","NOUN-M:s"
"217","indigena",207,"indigena","NOUN-F:s"
"218","indigene",209,"indigena","NOUN-F:p"
"219","indigeni",4254,"indigeno","NOUN-M:p"
"220","indigeno",493,"indigeno","NOUN-M:s"
"221","ladra",578,"ladra","NOUN-F:s"
"222","ladre",90,"ladra","NOUN-F:p"
"223","ladri",10220,"ladro","NOUN-M:p"
"224","ladro",7279,"ladro","NOUN-M:s"
"225","lupa",1004,"lupa","NOUN-F:s"
"226","lupe",47,"lupa","NOUN-F:p"
"227","lupi",6593,"lupo","NOUN-M:p"
"228","lupo",24523,"lupo","NOUN-M:s"
"229","malata",1090,"malata","NOUN-F:s"
"230","malate",277,"malata","NOUN-F:p"
"231","malati",33192,"malato","NOUN-M:p"
"232","malato",15968,"malato","NOUN-M:s"
"233","miliardari",774,"miliardario","NOUN-M:p"
"234","miliardaria",123,"miliardaria","NOUN-F:s"
"235","miliardarie",27,"miliardaria","NOUN-F:p"
"236","miliardario",2587,"miliardario","NOUN-M:s"
"237","ministra",1731,"ministra","NOUN-F:s"
"238","ministre",317,"ministra","NOUN-F:p"
"239","ministri",87651,"ministro","NOUN-M:p"
"240","ministro",228034,"ministro","NOUN-M:s"
"241","neonata",1389,"neonata","NOUN-F:s"
"242","neonate",121,"neonata","NOUN-F:p"
"243","neonati",6392,"neonato","NOUN-M:p"
"244","neonato",7225,"neonato","NOUN-M:s"
"245","nipotina",1114,"nipotina","NOUN-F:s"
"246","nipotine",206,"nipotina","NOUN-F:p"
"247","nipotini",1856,"nipotino","NOUN-M:p"
"248","nipotino",1496,"nipotino","NOUN-M:s"
"249","nonna",18601,"nonna","NOUN-F:s"
"250","nonne",2502,"nonna","NOUN-F:p"
"251","nonni",11472,"nonno","NOUN-M:p"
"252","nonnina",675,"nonnina","NOUN-F:s"
"253","nonnine",95,"nonnina","NOUN-F:p"
"254","nonnini",125,"nonnino","NOUN-M:p"
"255","nonnino",333,"nonnino","NOUN-M:s"
"256","nonno",19082,"nonno","NOUN-M:s"
"257","novizi",687,"novizio","NOUN-M:p"
"258","novizia",198,"novizia","NOUN-F:s"
"259","novizie",246,"novizia","NOUN-F:p"
"260","novizio",527,"novizio","NOUN-M:s"
"261","operai",37072,"operaio","NOUN-M:p"
"262","operaia",306,"operaia","NOUN-F:s"
"263","operaie",1434,"operaia","NOUN-F:p"
"264","operaio",13944,"operaio","NOUN-M:s"
"265","orfanella",140,"orfanella","NOUN-F:s"
"266","orfanelle",111,"orfanella","NOUN-F:p"
"267","orfanelli",233,"orfanello","NOUN-M:p"
"268","orfanello",99,"orfanello","NOUN-M:s"
"269","ostetrica",1258,"ostetrica","NOUN-F:s"
"270","ostetriche",617,"ostetrica","NOUN-F:p"
"271","ostetrici",77,"ostetrico","NOUN-M:p"
"272","ostetrico",215,"ostetrico","NOUN-M:s"
"273","pellegrina",173,"pellegrina","NOUN-F:s"
"274","pellegrine",59,"pellegrina","NOUN-F:p"
"275","pellegrini",7353,"pellegrino","NOUN-M:p"
"276","pellegrino",2070,"pellegrino","NOUN-M:s"
"277","pensionata",389,"pensionata","NOUN-F:s"
"278","pensionate",270,"pensionata","NOUN-F:p"
"279","pensionati",13594,"pensionato","NOUN-M:p"
"280","pensionato",5611,"pensionato","NOUN-M:s"
"281","poliziotta",619,"poliziotta","NOUN-F:s"
"282","poliziotte",95,"poliziotta","NOUN-F:p"
"283","poliziotti",18772,"poliziotto","NOUN-M:p"
"284","poliziotto",12872,"poliziotto","NOUN-M:s"
"285","popolana",269,"popolana","NOUN-F:s"
"286","popolane",86,"popolana","NOUN-F:p"
"287","popolani",574,"popolano","NOUN-M:p"
"288","popolano",482,"popolano","NOUN-M:s"
"289","portinai",124,"portinaio","NOUN-M:p"
"290","portinaia",379,"portinaia","NOUN-F:s"
"291","portinaie",61,"portinaia","NOUN-F:p"
"292","portinaio",507,"portinaio","NOUN-M:s"
"293","postina",212,"postina","NOUN-F:s"
"294","postine",19,"postina","NOUN-F:p"
"295","postini",609,"postino","NOUN-M:p"
"296","postino",2205,"postino","NOUN-M:s"
"297","psicologa",3879,"psicologa","NOUN-F:s"
"298","psicologhe",245,"psicologa","NOUN-F:p"
"299","psicologi",9524,"psicologo","NOUN-M:p"
"300","psicologo",10309,"psicologo","NOUN-M:s"
"301","ragazza",87236,"ragazza","NOUN-F:s"
"302","ragazze",56333,"ragazza","NOUN-F:p"
"303","ragazzi",219653,"ragazzo","NOUN-M:p"
"304","ragazzo",91821,"ragazzo","NOUN-M:s"
"305","santa",5364,"santa","NOUN-F:s"
"306","sante",531,"santa","NOUN-F:p"
"307","santi",13507,"santo","NOUN-M:p"
"308","santo",11953,"santo","NOUN-M:s"
"309","scienziata",907,"scienziata","NOUN-F:s"
"310","scienziate",350,"scienziata","NOUN-F:p"
"311","scienziati",36540,"scienziato","NOUN-M:p"
"312","scienziato",14997,"scienziato","NOUN-M:s"
"313","scolaretta",106,"scolaretta","NOUN-F:s"
"314","scolarette",37,"scolaretta","NOUN-F:p"
"315","scolaretti",207,"scolaretto","NOUN-M:p"
"316","scolaretto",139,"scolaretto","NOUN-M:s"
"317","signorina",7037,"signorina","NOUN-F:s"
"318","signorine",1456,"signorina","NOUN-F:p"
"319","signorini",153,"signorino","NOUN-M:p"
"320","signorino",525,"signorino","NOUN-M:s"
"321","soci",84713,"socio","NOUN-M:p"
"322","socia",1862,"socia","NOUN-F:s"
"323","socie",1648,"socia","NOUN-F:p"
"324","socio",41095,"socio","NOUN-M:s"
"325","sociologa",881,"sociologa","NOUN-F:s"
"326","sociologhe",50,"sociologa","NOUN-F:p"
"327","sociologi",3339,"sociologo","NOUN-M:p"
"328","sociologo",5880,"sociologo","NOUN-M:s"
"329","sottoscritta",1862,"sottoscritta","NOUN-F:s"
"330","sottoscritte",325,"sottoscritta","NOUN-F:p"
"331","sottoscritti",1163,"sottoscritto","NOUN-M:p"
"332","sottoscritto",18177,"sottoscritto","NOUN-M:s"
"333","sovrana",2475,"sovrana","NOUN-F:s"
"334","sovrane",74,"sovrana","NOUN-F:p"
"335","sovrani",1192,"sovrano","NOUN-M:p"
"336","sovrano",8925,"sovrano","NOUN-M:s"
"337","straniera",199,"straniera","NOUN-F:s"
"338","straniere",2220,"straniera","NOUN-F:p"
"339","stranieri",57439,"straniero","NOUN-M:p"
"340","straniero",46450,"straniero","NOUN-M:s"
"341","valletta",1051,"valletta","NOUN-F:s"
"342","vallette",537,"valletta","NOUN-F:p"
"343","valletti",217,"valletto","NOUN-M:p"
"344","valletto",357,"valletto","NOUN-M:s"
"345","vecchi",92,"vecchio","NOUN-M:p"
"346","vecchia",8362,"vecchia","NOUN-F:s"
"347","vecchie",296,"vecchia","NOUN-F:p"
"348","vecchietta",1746,"vecchietta","NOUN-F:s"
"349","vecchiette",765,"vecchietta","NOUN-F:p"
"350","vecchietti",1576,"vecchietto","NOUN-M:p"
"351","vecchietto",2512,"vecchietto","NOUN-M:s"
"352","vecchio",12500,"vecchio","NOUN-M:s"
"353","vedova",6611,"vedova","NOUN-F:s"
"354","vedove",2151,"vedova","NOUN-F:p"
"355","vedovi",221,"vedovo","NOUN-M:p"
"356","vedovo",564,"vedovo","NOUN-M:s"
"357","veterana",274,"veterana","NOUN-F:s"
"358","veterane",79,"veterana","NOUN-F:p"
"359","veterani",2785,"veterano","NOUN-M:p"
"360","veterano",1906,"veterano","NOUN-M:s"
