"","Form","Freq","lemma","POS","base","logtoken","nountype"
"127","coreografi",868,"coreografo","NOUN-M:p","coreograf_",6.766,"animate"
"128","coreografo",2284,"coreografo","NOUN-M:s","coreograf_",7.734,"animate"
"129","cortigiana",319,"cortigiana","NOUN-F:s","cortigian_",5.765,"animate"
"130","cortigiane",241,"cortigiana","NOUN-F:p","cortigian_",5.485,"animate"
"131","cortigiani",1167,"cortigiano","NOUN-M:p","cortigian_",7.062,"animate"
"132","cortigiano",211,"cortigiano","NOUN-M:s","cortigian_",5.352,"animate"
"133","deputata",2228,"deputata","NOUN-F:s","deputat_",7.709,"animate"
"134","deputate",467,"deputata","NOUN-F:p","deputat_",6.146,"animate"
"135","deputati",88880,"deputato","NOUN-M:p","deputat_",11.395,"animate"
"136","deputato",43430,"deputato","NOUN-M:s","deputat_",10.679,"animate"
"137","destinatari",28906,"destinatario","NOUN-M:p","destinatari_",10.272,"animate"
"138","destinataria",1796,"destinataria","NOUN-F:s","destinatari_",7.493,"animate"
"139","destinatarie",2363,"destinataria","NOUN-F:p","destinatari_",7.768,"animate"
"140","destinatario",21611,"destinatario","NOUN-M:s","destinatari_",9.981,"animate"
"141","detenuta",422,"detenuta","NOUN-F:s","detenut_",6.045,"animate"
"142","detenute",1056,"detenuta","NOUN-F:p","detenut_",6.962,"animate"
"143","detenuti",33043,"detenuto","NOUN-M:p","detenut_",10.406,"animate"
"144","detenuto",8795,"detenuto","NOUN-M:s","detenut_",9.082,"animate"
"145","devota",292,"devota","NOUN-F:s","devot_",5.677,"animate"
"146","devote",104,"devota","NOUN-F:p","devot_",4.644,"animate"
"147","devoti",4394,"devoto","NOUN-M:p","devot_",8.388,"animate"
"148","devoto",1782,"devoto","NOUN-M:s","devot_",7.485,"animate"
"149","discepola",292,"discepola","NOUN-F:s","discepol_",5.677,"animate"
"150","discepole",138,"discepola","NOUN-F:p","discepol_",4.927,"animate"
"151","discepoli",15373,"discepolo","NOUN-M:p","discepol_",9.64,"animate"
"152","discepolo",6302,"discepolo","NOUN-M:s","discepol_",8.749,"animate"
"153","diva",2095,"diva","NOUN-F:s","div_",7.647,"animate"
"154","dive",952,"diva","NOUN-F:p","div_",6.859,"animate"
"155","divi",1723,"divo","NOUN-M:p","div_",7.452,"animate"
"156","divo",1669,"divo","NOUN-M:s","div_",7.42,"animate"
"157","divorziata",149,"divorziata","NOUN-F:s","divorziat_",5.004,"animate"
"158","divorziate",70,"divorziata","NOUN-F:p","divorziat_",4.248,"animate"
"159","divorziati",652,"divorziato","NOUN-M:p","divorziat_",6.48,"animate"
"160","divorziato",166,"divorziato","NOUN-M:s","divorziat_",5.112,"animate"
"161","estranea",6734,"estranea","NOUN-F:s","estrane_",8.815,"animate"
"162","estranee",618,"estranea","NOUN-F:p","estrane_",6.426,"animate"
"163","estranei",3921,"estraneo","NOUN-M:p","estrane_",8.274,"animate"
"164","estraneo",3531,"estraneo","NOUN-M:s","estrane_",8.169,"animate"
"165","fanciulla",7317,"fanciulla","NOUN-F:s","fanciull_",8.898,"animate"
"166","fanciulle",3476,"fanciulla","NOUN-F:p","fanciull_",8.154,"animate"
"167","fanciulli",5270,"fanciullo","NOUN-M:p","fanciull_",8.57,"animate"
"168","fanciullo",6357,"fanciullo","NOUN-M:s","fanciull_",8.757,"animate"
"169","fidanzata",10372,"fidanzata","NOUN-F:s","fidanzat_",9.247,"animate"
"170","fidanzate",750,"fidanzata","NOUN-F:p","fidanzat_",6.62,"animate"
"171","fidanzati",491,"fidanzato","NOUN-M:p","fidanzat_",6.196,"animate"
"172","fidanzato",7382,"fidanzato","NOUN-M:s","fidanzat_",8.907,"animate"
"173","figli",190686,"figlio","NOUN-M:p","figli_",12.158,"animate"
"174","figlia",69358,"figlia","NOUN-F:s","figli_",11.147,"animate"
"175","figliastra",393,"figliastra","NOUN-F:s","figliastr_",5.974,"animate"
"176","figliastre",30,"figliastra","NOUN-F:p","figliastr_",3.401,"animate"
"177","figliastri",223,"figliastro","NOUN-M:p","figliastr_",5.407,"animate"
"178","figliastro",289,"figliastro","NOUN-M:s","figliastr_",5.666,"animate"
"179","figlie",14964,"figlia","NOUN-F:p","figli_",9.613,"animate"
"180","figlio",177804,"figlio","NOUN-M:s","figli_",12.088,"animate"
"181","figliola",1032,"figliola","NOUN-F:s","figliol_",6.939,"animate"
"182","figliole",262,"figliola","NOUN-F:p","figliol_",5.568,"animate"
"183","figlioli",1299,"figliolo","NOUN-M:p","figliol_",7.169,"animate"
"184","figliolo",2359,"figliolo","NOUN-M:s","figliol_",7.766,"animate"
"185","fotografa",1377,"fotografa","NOUN-F:s","fotograf_",7.228,"animate"
"186","fotografe",110,"fotografa","NOUN-F:p","fotograf_",4.7,"animate"
"187","fotografi",7436,"fotografo","NOUN-M:p","fotograf_",8.914,"animate"
"188","fotografo",10442,"fotografo","NOUN-M:s","fotograf_",9.254,"animate"
"189","funzionari",42887,"funzionario","NOUN-M:p","funzionari_",10.666,"animate"
"190","funzionaria",615,"funzionaria","NOUN-F:s","funzionari_",6.422,"animate"
"191","funzionarie",117,"funzionaria","NOUN-F:p","funzionari_",4.762,"animate"
"192","funzionario",31467,"funzionario","NOUN-M:s","funzionari_",10.357,"animate"
"193","gatta",3726,"gatta","NOUN-F:s","gatt_",8.223,"animate"
"194","gatte",526,"gatta","NOUN-F:p","gatt_",6.265,"animate"
"195","gatti",20884,"gatto","NOUN-M:p","gatt_",9.947,"animate"
"196","gatto",22226,"gatto","NOUN-M:s","gatt_",10.009,"animate"
"197","gemella",541,"gemella","NOUN-F:s","gemell_",6.293,"animate"
"198","gemelle",1014,"gemella","NOUN-F:p","gemell_",6.922,"animate"
"199","gemelli",4834,"gemello","NOUN-M:p","gemell_",8.483,"animate"
"200","gemello",1220,"gemello","NOUN-M:s","gemell_",7.107,"animate"
"201","ginecologa",787,"ginecologa","NOUN-F:s","ginecolog_",6.668,"animate"
"202","ginecologhe",50,"ginecologa","NOUN-F:p","ginecolog_",3.912,"animate"
"203","ginecologi",732,"ginecologo","NOUN-M:p","ginecolog_",6.596,"animate"
"204","ginecologo",3430,"ginecologo","NOUN-M:s","ginecolog_",8.14,"animate"
"205","guerriera",786,"guerriera","NOUN-F:s","guerrier_",6.667,"animate"
"206","guerriere",248,"guerriera","NOUN-F:p","guerrier_",5.513,"animate"
"207","guerrieri",5781,"guerriero","NOUN-M:p","guerrier_",8.662,"animate"
"208","guerriero",7984,"guerriero","NOUN-M:s","guerrier_",8.985,"animate"
"209","immigrata",332,"immigrata","NOUN-F:s","immigrat_",5.805,"animate"
"210","immigrate",807,"immigrata","NOUN-F:p","immigrat_",6.693,"animate"
"211","immigrati",64960,"immigrato","NOUN-M:p","immigrat_",11.082,"animate"
"212","immigrato",7892,"immigrato","NOUN-M:s","immigrat_",8.974,"animate"
"213","imputata",730,"imputata","NOUN-F:s","imputat_",6.593,"animate"
"214","imputate",129,"imputata","NOUN-F:p","imputat_",4.86,"animate"
"215","imputati",16135,"imputato","NOUN-M:p","imputat_",9.689,"animate"
"216","imputato",22636,"imputato","NOUN-M:s","imputat_",10.027,"animate"
"217","indigena",207,"indigena","NOUN-F:s","indigen_",5.333,"animate"
"218","indigene",209,"indigena","NOUN-F:p","indigen_",5.342,"animate"
"219","indigeni",4254,"indigeno","NOUN-M:p","indigen_",8.356,"animate"
"220","indigeno",493,"indigeno","NOUN-M:s","indigen_",6.201,"animate"
"221","ladra",578,"ladra","NOUN-F:s","ladr_",6.36,"animate"
"222","ladre",90,"ladra","NOUN-F:p","ladr_",4.5,"animate"
"223","ladri",10220,"ladro","NOUN-M:p","ladr_",9.232,"animate"
"224","ladro",7279,"ladro","NOUN-M:s","ladr_",8.893,"animate"
